Section_Name,Thread_Title,Thread_ID,Thread_Views_Count,Thread_Reply_Count,Thread_Participants_Count,Sender_Name,Sender_ID,Receiver_ID,Receiver_Name,Date,Time,Content,Order
Maserati Care & Detailing,Clear bra thoughts,128389,1768,4,3,Cynabar,post-1019777,,,"Nov 30, 2021",4:40 PM,I would recommend Adams Ceramic Waterless Car Wash. I buy it by the gallon.,4
Maserati Care & Detailing,Anyone In Need of Service,126573,2462,5,5,JorgeGutierrez7,post-1002606,,,"Jun 20, 2022",12:56 AM,"Hi there, although I do not own a Maserati I'm a Service Advisor for Rick Case Maserati in Weston, FL and would like to offer my assistance to anyone in need of service from one car enthusiast to another. Any information or help needed feel free to contact me. Thank you for letting me be a part of your community.",1
Maserati Care & Detailing,Anyone In Need of Service,126573,2462,5,5,timado404,post-1002611,#post-1002606,JorgeGutierrez7,"Mar 3, 2021",10:22 AM,"A bit off topic but your city caught my attention. I did a hitting clinic a few years back with a travel baseball team, the ""Rattlers"" If I remember correctly. Me and a few baseball buddies. Off Saddle Club Rd. I remember it was a very beautiful park facility! ",2
Maserati Care & Detailing,Anyone In Need of Service,126573,2462,5,5,JorgeGutierrez7,post-1002615,#post-1002611,timado404,"Mar 3, 2021",12:29 PM,lol thanks a lot. glad to be a part of the family,3
Maserati Care & Detailing,Anyone In Need of Service,126573,2462,5,5,Greg,post-1026560,#post-1002606,JorgeGutierrez7,"Mar 10, 2022",7:37 AM,Eddie- thanks for the offer. I'm in NJ with a 2009 Quattroporte. I'm having the leather peel issue common to those vehicles. Prior owner never used vehicle so this issue was un-known to him and left uin-repaired. Anything available from Maserati for this fix? I know at the time they had repair kist but I think non are left?,4
Maserati Care & Detailing,Anyone In Need of Service,126573,2462,5,5,kavanish.home,post-1027527,#post-1002606,JorgeGutierrez7,"Mar 23, 2022",7:49 PM,,5
Maserati Care & Detailing,Anyone In Need of Service,126573,2462,5,5,waltdixon,post-1033210,#post-1002606,JorgeGutierrez7,"Jun 20, 2022",12:56 AM,"HI Rick,",6
Maserati Care & Detailing,2009 Quattroporte,129086,995,1,2,Greg,post-1026509,,,"Jul 14, 2022",8:23 PM,I remember using leather conditioner on my 2017 GT and it caused permanent streaking. I had great results with this on all my other cars.,1
Maserati Care & Detailing,2009 Quattroporte,129086,995,1,2,Gui6,post-1034534,#post-1026509,Greg,"Jul 14, 2022",8:23 PM,,2
Maserati Care & Detailing,"Adams ultra plush drying towel, WOW!",118605,2514,3,4,AMGtoMASI,post-935213,,,"Oct 21, 2018",1:28 AM,I'm buying some of those if they work that good!,2
Maserati Care & Detailing,Maserati Granturismo M145 2012 Service Light Reset by Launch X431,129738,1922,8,5, Enzo`s Atlanta,post-1032843,,,"Jun 12, 2022",9:49 PM,I know why I don't use Launch..I don't have time for all that BS...Autel or Leo resets the stuff in like 1 minute...J,2
Maserati Care & Detailing,Boot tidy,127418,2261,13,2,tasnam,post-1010718,,,"Jun 30, 2021",6:16 AM,Interested...please DM,2
Maserati Care & Detailing,"Adams ultra plush drying towel, WOW!",118605,2514,3,4,12 cylinders,post-935239,,,"Oct 21, 2018",10:06 AM,Hello Timado404...beautiful car...is the color Grigio Pilladio?,3
Maserati Care & Detailing,"Adams ultra plush drying towel, WOW!",118605,2514,3,4,runforestrun,post-1032430,,,"Jun 6, 2022",3:47 PM,"Personally, I prefer linen towels. They are made most often from flax, sometimes with the addition of cotton. It gets wet quickly, dries for a long time and is not able to give the comfort to which soft terry products have accustomed us. And yet a linen towel is something special! They need to wipe themselves vigorously, like with a washcloth. But the effect is comparable to a light massage: blood flow improves, the mobility of muscles and ligaments increases. You can use the special website ",4
Maserati Care & Detailing,Maserati Granturismo M145 2012 Service Light Reset by Launch X431,129738,1922,8,5,OleBah,post-1032855,#post-1032843, Enzo`s Atlanta,"Jun 13, 2022",5:59 AM,I hear you Jason but Leonardo diagnostic system at $20 000+ vs Launch X-431 at $3300 (which I think is expensive) to reset service light and gather some basic information? What would you recommend in the DIY price bracket for us on this site?,3
Maserati Care & Detailing,Maserati Granturismo M145 2012 Service Light Reset by Launch X431,129738,1922,8,5,GligorovGT,post-1036188,#post-1032843, Enzo`s Atlanta,"Aug 5, 2022",4:46 AM,Do you have a link of what you use???,4
Maserati Care & Detailing,Maserati Granturismo M145 2012 Service Light Reset by Launch X431,129738,1922,8,5, Enzo`s Atlanta,post-1036194,,,"Aug 5, 2022",6:20 AM,Autel 608TS....Does all kinds of stuff on a lot of makes for like 700.00 and it is fast..Jason,5
Maserati Care & Detailing,Maserati Granturismo M145 2012 Service Light Reset by Launch X431,129738,1922,8,5,GligorovGT,post-1036200,#post-1036194, Enzo`s Atlanta,"Aug 5, 2022",8:11 AM,Salty price! 😁,6
Maserati Care & Detailing,Maserati Granturismo M145 2012 Service Light Reset by Launch X431,129738,1922,8,5, Enzo`s Atlanta,post-1036202,,,"Aug 5, 2022",8:22 AM,You can google it bro..Jason,7
Maserati Care & Detailing,Boot tidy,127418,2261,13,2,Dman666,post-1010746,#post-1010718,tasnam,"Jun 30, 2021",2:00 PM,PM sent,3
Maserati Care & Detailing,Boot tidy,127418,2261,13,2,tasnam,post-1017465,,,"Oct 18, 2021",11:02 AM,I am ready to buy two....sent you a DM....,5
Maserati Care & Detailing,Boot tidy,127418,2261,13,2,tasnam,post-1032503,,,"Jun 7, 2022",2:28 PM,I will buy it.,7
Maserati Care & Detailing,Boot tidy,127418,2261,13,2,Dman666,post-1032504,,,"Jun 7, 2022",2:45 PM,No problem at all,8
Maserati Care & Detailing,Maserati Granturismo M145 2012 Service Light Reset by Launch X431,129738,1922,8,5,epb0,post-1036204,#post-1032843, Enzo`s Atlanta,"Aug 5, 2022",9:08 AM,"Launch or Autel it's exactly same thing, with same menu. ",8
Maserati Care & Detailing,Boot tidy,127418,2261,13,2,Dman666,post-1032534,#post-1032503,tasnam,"Jun 8, 2022",2:24 AM, I will send a Paypal invoice as before,9
Maserati Care & Detailing,Boot tidy,127418,2261,13,2,tasnam,post-1032541,,,"Jun 8, 2022",8:49 AM,sure. let's do it. RED please,10
Maserati Care & Detailing,Boot tidy,127418,2261,13,2,Dman666,post-1032702,,,"Jun 10, 2022",3:24 AM,Hi we only have the small box in black with red stripe,11
Maserati Care & Detailing,Boot tidy,127418,2261,13,2,tasnam,post-1032747,,,"Jun 10, 2022",6:36 PM,OK I will take it,12
Maserati Care & Detailing,Boot tidy,127418,2261,13,2,Dman666,post-1032775,,,"Jun 11, 2022",5:12 AM,No worries will send Paypal invoice,13
Maserati Care & Detailing,Boot tidy,127418,2261,13,2,tasnam,post-1032783,,,"Jun 11, 2022",11:26 AM,Paid,14
Maserati Care & Detailing,Maserati Granturismo M145 2012 Service Light Reset by Launch X431,129738,1922,8,5,GligorovGT,post-1036289,#post-1036202, Enzo`s Atlanta,"Aug 6, 2022",6:54 AM,I will.,9
Maserati Care & Detailing,Reset the service light,130151,841,1,2,elin1993,post-1036486,,,"Aug 9, 2022",8:24 AM,Hello folks.,1
Maserati Care & Detailing,Reset the service light,130151,841,1,2, Enzo`s Atlanta,post-1036488,,,"Aug 9, 2022",8:24 AM,Try using Ghibli and it might not reset depending on the year...Jason,2
Maserati Care & Detailing,Launch X431 scan tool and Maserati diagnostic: Yes or No?,129726,2796,8,4, Enzo`s Atlanta,post-1032668,,,"Jun 9, 2022",5:56 PM,I'm glad both you guys know that stuff off the top of your head...I usually have to look up all that stuff when needed.. As far as the Leo..We have done a bunch of clutches on Fcars and Maserati and have never had an issue...I simply don't trust the knock off scanners for an older F1 cars...I have seen enough screwy values on here that they would scare me to set-up a clutch...Jason,3
Maserati Care & Detailing,Launch X431 scan tool and Maserati diagnostic: Yes or No?,129726,2796,8,4,Paul Liucci,post-1036622,#post-1032668, Enzo`s Atlanta,"Aug 11, 2022",2:01 AM,Good Timing on my search for comments on a Launch X431. Now I need to reset my head. What should an old school hobby mechanic do to check on a 2006 QP DS ? I really like to do my own work,4
Maserati Care & Detailing,Launch X431 scan tool and Maserati diagnostic: Yes or No?,129726,2796,8,4, Enzo`s Atlanta,post-1036655,,,"Aug 11, 2022",12:42 PM,The Launch is fine for a DIYer..It is not really a pro level tool...The SDs and the Leo are way too much money for a normal person...The guy on here showed everyone how to calculate the clutch wear manually with the launch so your good there..It does 90% of what needs to be done...Jason,6
Maserati Care & Detailing,Launch X431 scan tool and Maserati diagnostic: Yes or No?,129726,2796,8,4,Cdn17Sport6MT,post-1036656,,,"Aug 11, 2022",12:46 PM,"Oh, the Launch will do a servo oil bleed sequence, to be able to get any air out of the servo oil system. In my books that's 'real important... cuz you WILL be breaking-in to the hydraulic system to change hoses, F1 pump (if you change whole-pump versus just it's E-motor) and/or the F1 accumulator.",7
Maserati Care & Detailing,Launch X431 scan tool and Maserati diagnostic: Yes or No?,129726,2796,8,4, Enzo`s Atlanta,post-1036658,,,"Aug 11, 2022",1:03 PM,I imagine it does because they stole the damn software.. ,8
Maserati Care & Detailing,Launch X431 scan tool and Maserati diagnostic: Yes or No?,129726,2796,8,4,Cdn17Sport6MT,post-1036661,,,"Aug 11, 2022",1:26 PM,Yup...,9
Maserati Care & Detailing,GT paint,130021,972,1,2,Highplains,post-1038382,#post-1035257,newmazfan,"Sep 4, 2022",6:39 PM,"Yes, paint chips can be repaired. With care, they can be barely noticeable. Keep in mind that GTs have clear bra on the front bumper cover, side mirrors and front of rear wheel wells. You might want to remove the clear bra first to evaluate the damage. After cleaning the paint chip with a glass fiber tool, wash it with 15% alcohol solution and let dry. I use color only on the first coat then use a mix of color and clear coat a little at a time till the paint is slightly higher than the finish. Once it dries and cures you can sand, compound and polish.",2
Maserati Care & Detailing,Questions from a new owner of a 03 Coupe Cambiocorsa,130713,688,1,2,AntonioIzzo93,post-1041359,,,"Nov 2, 2022",8:49 AM,Hey everyone I’m a new and first time Maserati owner. I have very recently bought a 2003 Coupe Cambiocorsa (71K miles) I just had a few questions for everyone regarding the car. ,1
Maserati Care & Detailing,Questions from a new owner of a 03 Coupe Cambiocorsa,130713,688,1,2,BogdanE,post-1041422,,,"Nov 2, 2022",8:49 AM,Also interested. What are common issues to be on the look out for?,2
Maserati Care & Detailing,Multimedia time settings not appearing on dash panel,130511,730,2,2,kashifch,post-1039750,,,"Sep 30, 2022",11:31 AM,"Need some thoughts , while I try to set the time through multi media panel it doesn’t save and dash board panel time remains the same . Any solutions ? Maserati Granturismo 2011",1
Maserati Care & Detailing,Multimedia time settings not appearing on dash panel,130511,730,2,2,MA JUN,post-1039793,#post-1039750,kashifch,"Sep 30, 2022",9:20 AM,"Check the in-car body computer connector for damage and looseness (sometimes the connector appears to be plugged in), this is my experience, and there will be a few strange fault lights on the dashboard. Hope to help you.",2
Maserati Care & Detailing,Multimedia time settings not appearing on dash panel,130511,730,2,2,kashifch,post-1039809,,,"Sep 30, 2022",11:31 AM,Thanks will do a check for the connectors,3
Maserati Care & Detailing,Looking for Rubber Conditioning Product Recommendation,130401,898,2,3,Mjlindsey,post-1038868,,,"Sep 13, 2022",11:55 PM,I’m looking for recommendations for the best rubber cleaner and conditioner. My window seals on the doors are discoloring slightly and the vehicle is always garaged (even at my work) with only 12k miles. So this is just from when its been sitting outside or driving.,1
Maserati Care & Detailing,zegna silk seat care,130358,791,1,1,Cepat,post-1038490,,,"Nov 1, 2022",12:05 PM,searched but couldn't find anything: whats the proper care and cleaning of the zegna silk seats?,1
Maserati Care & Detailing,zegna silk seat care,130358,791,1,1,Cepat,post-1041373,#post-1038490,Cepat,"Nov 1, 2022",12:05 PM,bump. any info on this? maybe ask the dealer or parts department?,2
Maserati Care & Detailing,05 GranSport steering column cover removal.,130362,1077,5,3,jwittner,post-1038541,,,"Sep 9, 2022",2:19 PM,"Steering column cover is next on the ""sticky"" list. Removed the four screws from underside of cover(s) and the two halves are completely loose and feel ready to come off, but something is keeping them together between the back of steering wheel and paddles. Don't want to force it too much. Anyone else removed the steering column covers in 05 GS?",1
Maserati Care & Detailing,05 GranSport steering column cover removal.,130362,1077,5,3,jwittner,post-1038554,,,"Sep 7, 2022",2:48 PM,"UGH! Yes, I see them there just outside the wheel ring. Extremely helpful, but definitely NOT what I wanted to hear. Damn! I don't really feel comfortable doing that much demo. Thank you.",3
Maserati Care & Detailing,05 GranSport steering column cover removal.,130362,1077,5,3,MCVehicle,post-1038605,#post-1038554,jwittner,"Sep 8, 2022",11:39 AM,You do NOT need to remove the steering wheel. It's actually quite easy. ,4
Maserati Care & Detailing,05 GranSport steering column cover removal.,130362,1077,5,3,MCVehicle,post-1038669,,,"Sep 9, 2022",2:19 PM,"That's awesome, I'm glad I could help. Please post the finished product!",6
Maserati Care & Detailing,Floor mats,127419,2430,5,3,JohnnyG,post-1010674,,,"Jun 29, 2021",6:43 PM,+1 here! in Blue with cream script would be mint for my rig.,2
Maserati Care & Detailing,Floor mats,127419,2430,5,3,Daimler250,post-1010728,#post-1010716,SPYDER13,"Jun 30, 2021",8:19 AM,Company name? Are there snaps on the madetsti mats?,5
Maserati Care & Detailing,Floor mats,127419,2430,5,3,SPYDER13,post-1010745,,,"Jun 30, 2021",12:10 PM,Vince @ EXOTICARE.... WEBSITE EXOTICARE.CA... sorry Daimler I do not know what you mean by Madetsti Mats,6
Maserati Care & Detailing,Scratch granturismo white leather,128297,1357,1,2,SPR,post-1018887,,,"Nov 14, 2021",11:03 PM,Good afternoon everyone. Does anyone have a good solution on how to repair a light scratch? Touch up pens. Etc? And where to purchase it from?,1
Maserati Care & Detailing,Scratch granturismo white leather,128297,1357,1,2,Sock Tucker,post-1018898,,,"Nov 14, 2021",11:03 PM,"Need to see it, white is hard to work with.",2
Maserati Care & Detailing,Touchup paint for Atlante Dark wheels?,127862,1059,0,1,BRB57,post-1014790,,,"Sep 4, 2021",2:36 PM,"Got a bit of curb rash on one of my wheels, anyone know where I can get touchup paint for Atlante Dark wheels? Thanks!!",1
Maserati Care & Detailing,Peeling dash,127697,2393,3,3, Enzo`s Atlanta,post-1013348,,,"Aug 9, 2021",9:42 PM,Bacon dash...Pretty common on cars these days with a leather dash as we see it all the time..Also on Jaguar...That will be battle you will most likely not win....Weathertech.com makes sunshades that help prevent this issue...Jason,2
Maserati Care & Detailing,Peeling dash,127697,2393,3,3,Mrbobdou,post-1013368,#post-1013348, Enzo`s Atlanta,"Aug 10, 2021",12:52 PM,"Any basic sun shade would help prevent this, right?",3
Maserati Care & Detailing,Peeling dash,127697,2393,3,3, Enzo`s Atlanta,post-1013369,,,"Aug 10, 2021",12:59 PM,"Yes, weathertech makes nice ones and I have one for for my Range Rover..Not sure why car manufactures still continue to use leather on dashboards..It doesn't work most of the time..A Ghibli can be had with just a regular plastic dash, while not as cool you don't have any issues...Jason",4
Maserati Care & Detailing,Detail and Ceramic Coating,125615,3211,6,6,Maseratigirl27,post-993492,,,"Oct 6, 2020",1:35 PM,Beautiful!,2
Maserati Care & Detailing,Parking brake failure warning,94914,20240,9,6,Stephens70769,post-749402,,,"Jan 3, 2022",6:33 AM,"The"" parking brake failure warning bring to dealer"" came up on display yesterday. Has anyone experienced this and what can I expect when I bring my car to get looked at. It's a '13 MC Stradale with only 9800 miles.",1
Maserati Care & Detailing,How do I repair damage to interior panel,128569,1711,3,2,Cynabar,post-1021513,,,"Dec 28, 2021",11:46 PM,Try ,2
Maserati Care & Detailing,Rim Rash - Gloss Black Touch Up Paint??,128017,1589,3,2,eurob25,post-1016417,,,"Oct 21, 2021",3:17 PM,"I know from searching the forums that this question is asked a lot... and never truly answered... but here I am to ask it again. Does anyone have insights on ""Gloss Black"" paint to touch up some rim rash?? Clearly there's no ""official"" paint, but has anyone found a decent match of any sort??",1
Maserati Care & Detailing,Rim Rash - Gloss Black Touch Up Paint??,128017,1589,3,2,timado404,post-1016430,#post-1016417,eurob25,"Oct 1, 2021",9:36 PM,"
",2
Maserati Care & Detailing,Detail and Ceramic Coating,125615,3211,6,6,sixtysixpony,post-993901,,,"Oct 11, 2020",4:29 PM,True for a black car. They are beautiful but so had to keep that way.,5
Maserati Care & Detailing,Detail and Ceramic Coating,125615,3211,6,6,timado404,post-993925,#post-993901,sixtysixpony,"Oct 11, 2020",11:53 PM,"So true...my BMW M6 was black, and It was hell to pay, keeping it clean,1 hour after I washed it...lol",6
Maserati Care & Detailing,Parking brake failure warning,94914,20240,9,6, Enzo`s Atlanta,post-749530,,,"Feb 25, 2017",2:18 PM,The dealer will have to scan the car to find what faults are in the system...sorry I don`t have a better answer...Jason,2
Maserati Care & Detailing,Parking brake failure warning,94914,20240,9,6,Sgrady41,post-754170,,,"Mar 7, 2017",7:25 AM,Had that on my GTS after sitting for a bit. Went off and have not seen it again. My dealer said it can be an issue if it set for a while. Good luck,3
Maserati Care & Detailing,Parking brake failure warning,94914,20240,9,6,aquaranti,post-765658,,,"Apr 10, 2017",11:03 PM,"when you park the car hit the parking brake off button when you restart it the warning should go out , if the red brake light stays lit shut car off and wait a minute or so and when you restart it it should go out.",4
Maserati Care & Detailing,Parking brake failure warning,94914,20240,9,6,rich namovich,post-975197,,,"Feb 28, 2020",12:53 PM,Dealer said I needed to replace rotors and pads (2 mm) that is why light was on. I changed rear rotors and pads. Brakes work perfectly. Light will not go out. Reset brake to ,5
Maserati Care & Detailing,Parking brake failure warning,94914,20240,9,6, Enzo`s Atlanta,post-975205,,,"Feb 28, 2020",3:47 PM,The parking brake and the regular brakes are two separate systems....You have a set of drum brakes for the parking brake and then the disc which you had replaced..They should not have told you that...Jason,6
Maserati Care & Detailing,Parking brake failure warning,94914,20240,9,6,rich namovich,post-975213,#post-975205, Enzo`s Atlanta,"Feb 28, 2020",5:37 PM,Thanks. Will it hurt to not use the parking brake? The light? How do i get it off?,7
Maserati Care & Detailing,Parking brake failure warning,94914,20240,9,6, Enzo`s Atlanta,post-975224,,,"Feb 28, 2020",6:39 PM,"It won't hurt anything, but the light won't away until it is working properly...BTW please start a new thread when you have a question in the model section that you own..Someone will help you...I'm actually not even sure what car you have at this point..? The original poster here did it wrong and it just creates confusion....Jason",8
Maserati Care & Detailing,Parking brake failure warning,94914,20240,9,6,rich namovich,post-975226,,,"Feb 28, 2020",8:48 PM,Thanks,9
Maserati Care & Detailing,How do I repair damage to interior panel,128569,1711,3,2,joevar,post-1021557,,,"Dec 29, 2021",1:41 PM,That is exactly what I was looking for. Thanks!,3
Maserati Care & Detailing,How do I repair damage to interior panel,128569,1711,3,2,joevar,post-1021879,,,"Jan 3, 2022",5:00 PM,"After a bit more research, I found this product at ",4
Maserati Care & Detailing,Rim Rash - Gloss Black Touch Up Paint??,128017,1589,3,2,eurob25,post-1016442,,,"Oct 2, 2021",9:39 AM,"Yeah timado? That sounds about right! Worth a shot, thank you bud!",3
Maserati Care & Detailing,Rim Rash - Gloss Black Touch Up Paint??,128017,1589,3,2,eurob25,post-1017681,,,"Oct 21, 2021",3:17 PM," , just wanted to say thank you again. I got that Testors paint and it worked like a CHARM. Total match, can't even see the rash anymore. Cheers to you!",4
Maserati Care & Detailing,Parking brake failure warning,94914,20240,9,6,danielh,post-1021854,#post-765658,aquaranti,"Jan 3, 2022",6:33 AM,"It worked with me, thanks 😊",10
Maserati Care & Detailing,06 Gransport Headliner Question,128671,1276,5,3,Gransportguy20,post-1022514,,,"Jan 14, 2022",4:47 PM,So my headliner is sagging a bit at the front near the sunshades. The material is the Blue ‘Technical’ cloth. Any advice on how to re-adhere the cloth to the roof? Would also appreciate any advice on what kind of cleaning solutions to use on the cloth. I’ve had my Gransport for nearly 2 years and absolutely love it. Cheers.,1
Maserati Care & Detailing,06 Gransport Headliner Question,128671,1276,5,3,twinspark,post-1022579,,,"Jan 14, 2022",9:02 AM,That material is very fragile and doesn’t respond well to regluing because of how thin it is. Cleaning it is also difficult.,2
Maserati Care & Detailing,06 Gransport Headliner Question,128671,1276,5,3,Cdn17Sport6MT,post-1022603,,,"Jan 14, 2022",12:46 PM,"Search out Lambertius, in Aus (or NewZealand?) for a how-to... convert to leather...",3
Maserati Care & Detailing,06 Gransport Headliner Question,128671,1276,5,3,Gransportguy20,post-1022605,,,"Jan 14, 2022",1:01 PM,Thank you. It’s not a problem yet.,4
Maserati Care & Detailing,06 Gransport Headliner Question,128671,1276,5,3,Cdn17Sport6MT,post-1022606,,,"Jan 14, 2022",1:08 PM,"Regardless, here is the YouTube library: ",5
Maserati Care & Detailing,06 Gransport Headliner Question,128671,1276,5,3,Gransportguy20,post-1022622,#post-1022606,Cdn17Sport6MT,"Jan 14, 2022",4:47 PM,TY!,6
Maserati Care & Detailing,What are you guys paying for oil changes?,85817,55238,38,28,theKfactor,post-683345,,,"Feb 9, 2022",5:10 AM,About time to take my lady in for her first oil change. I've had the car for one year (though the manual says the first change at 2 years)...Just wanted to see what you guys are paying for oil changes (I have a GT) I know there can be regional variation.,1
Maserati Care & Detailing,using CTEK battery charger for the first time,128551,1858,4,5,John C,post-1021385,,,"Mar 15, 2022",10:03 PM,"The user manual says not to use the battery charger in a ""closed in area"". I am not driving the car for 3 weeks and have it parked in my garage. I assume it is safe to use in my garage, with an extension cord ? Is this correct ?",1
Maserati Care & Detailing,What are you guys paying for oil changes?,85817,55238,38,28,Subluxation1111,post-683545,,,"Jul 23, 2016",2:57 PM,"The Maserati dealer here in Calgary charges 700$ for an oil change but I found an Indy that charges 300$. Same oil. Apparently good for 17k km if the car isn't sitting and daily driven. I found the brake job to be quite expensive since the emergency brake needs to be serviced as well to avoid rust and corrosion. Apparently, the little boots latch onto the rotors when the emergency brake auto engages. If they aren't serviced they can stick to the rotor and cause bigger expensive problems. That was my understanding anyway",3
Maserati Care & Detailing,What are you guys paying for oil changes?,85817,55238,38,28,Frari,post-683617,,,"Jul 23, 2016",7:29 PM,"I buy my own oil and filter and washers ,take to my Indy and he just charges labour and enviro levy so it costs me about $100.",4
Maserati Care & Detailing,What are you guys paying for oil changes?,85817,55238,38,28,adam01,post-683633,,,"Jul 23, 2016",7:53 PM,Why r u not doing it yr self,5
Maserati Care & Detailing,What are you guys paying for oil changes?,85817,55238,38,28,TomasN,post-683985,,,"Jul 25, 2016",6:06 AM,"Just to compare with European prices. Just paid 445 €, oil and original filter, to have oil changed on my QP. Equals to 490 US$. Shell Helix Ultra racing 10W60",6
Maserati Care & Detailing,What are you guys paying for oil changes?,85817,55238,38,28,theKfactor,post-684105,,,"Jul 25, 2016",11:15 AM,Thanks guys....,7
Maserati Care & Detailing,What are you guys paying for oil changes?,85817,55238,38,28,FormulaDynamics,post-684313,,,"Jul 25, 2016",8:05 PM,"We do offer oil change kits for all Maserati's that come with a factory oil filter, crush washers and the factory oil which typically can only be ordered by the 55 gallon drum and isn't available in stores. You can either do the work yourself or provide the parts to an independent if they don't have easy access to it but if you're under warranty you will want to be sure to use only the factory oil to help avoid warranty issues. The dealers don't have a monopoly on oil changes but will require that factory spec parts / lubricants are used for warranty coverage. We also offer the 10W60 Ferrari Spec oil for an additional cost, if desired.",8
Maserati Care & Detailing,What are you guys paying for oil changes?,85817,55238,38,28,SteveInNC,post-695874,,,"Sep 1, 2016",3:33 AM,Which local dealer? ,9
Maserati Care & Detailing,using CTEK battery charger for the first time,128551,1858,4,5,Sock Tucker,post-1021386,,,"Dec 26, 2021",12:53 PM,Yes,2
Maserati Care & Detailing,using CTEK battery charger for the first time,128551,1858,4,5,BrianGTC,post-1021404,,,"Dec 26, 2021",8:59 PM,Yup! My GT stays in my garage all winter with the CTEK plugged in. It’ll be just fine.,3
Maserati Care & Detailing,using CTEK battery charger for the first time,128551,1858,4,5,UNION73,post-1026699,,,"Mar 12, 2022",2:15 PM,"I use the CTEK when the car is going to be parked for more than a few days. It is garaged and the CTEK itself is in the closed trunk (I wrap the cord with a towel before shutting the ""boot"". I use cheaper float chargers on other batteries and have never had a problem.",4
Maserati Care & Detailing,using CTEK battery charger for the first time,128551,1858,4,5,Dream Amalfi,post-1026931,,,"Mar 15, 2022",10:03 PM,"I don't have a CTEK but I did notice that whenever I connected the car to my tender and left the tender in the trunk, the tender felt fairly warm to the touch. Although I rarely use a tender, if I do connect the tender, I now leave the tender outside of the trunk and it remains room temperature to the touch and not overly warm. I don't know if that's what is meant but not in a closed area etc....",5
Maserati Care & Detailing,What are you guys paying for oil changes?,85817,55238,38,28,kubadat,post-700177,,,"Sep 14, 2016",11:41 PM,$200 at the dealer (Atlanta). There's no way I'd pay $680,10
